classification_system,code,code_clean,description
icd-10-mc,S72.002P,S72002P,"Fracture of unspecified part of neck of left femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.002Q,S72002Q,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.002R,S72002R,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.002S,S72002S,"Fracture of unspecified part of neck of left femur, sequela"
icd-10-mc,S72.009A,S72009A,"Fracture of unspecified part of neck of unspecified femur, initial encounter for closed fracture"
icd-10-mc,S72.009B,S72009B,"Fracture of unspecified part of neck of unspecified femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.009C,S72009C,"Fracture of unspecified part of neck of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.009D,S72009D,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.009E,S72009E,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.009F,S72009F,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.009G,S72009G,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.009H,S72009H,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.009J,S72009J,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.009K,S72009K,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.009M,S72009M,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.009N,S72009N,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.009P,S72009P,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.009Q,S72009Q,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.009R,S72009R,"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.009S,S72009S,"Fracture of unspecified part of neck of unspecified femur, sequela"
icd-10-mc,S72.011A,S72011A,"Unspecified intracapsular fracture of right femur, initial encounter for closed fracture"
icd-10-mc,S72.011B,S72011B,"Unspecified intracapsular fracture of right femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.011C,S72011C,"Unspecified intracapsular fracture of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.011D,S72011D,"Unspecified intracapsular fracture of right femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.011E,S72011E,"Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.011F,S72011F,"Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.011G,S72011G,"Unspecified intracapsular fracture of right femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.011H,S72011H,"Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.011J,S72011J,"Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.011K,S72011K,"Unspecified intracapsular fracture of right femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.011M,S72011M,"Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.011N,S72011N,"Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.011P,S72011P,"Unspecified intracapsular fracture of right femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.011Q,S72011Q,"Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.011R,S72011R,"Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.011S,S72011S,"Unspecified intracapsular fracture of right femur, sequela"
icd-10-mc,S72.012A,S72012A,"Unspecified intracapsular fracture of left femur, initial encounter for closed fracture"
icd-10-mc,S72.012B,S72012B,"Unspecified intracapsular fracture of left femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.012C,S72012C,"Unspecified intracapsular fracture of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.012D,S72012D,"Unspecified intracapsular fracture of left femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.012E,S72012E,"Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.012F,S72012F,"Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.012G,S72012G,"Unspecified intracapsular fracture of left femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.012H,S72012H,"Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.012J,S72012J,"Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.012K,S72012K,"Unspecified intracapsular fracture of left femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.012M,S72012M,"Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.012N,S72012N,"Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.012P,S72012P,"Unspecified intracapsular fracture of left femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.012Q,S72012Q,"Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.012R,S72012R,"Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.012S,S72012S,"Unspecified intracapsular fracture of left femur, sequela"
icd-10-mc,S72.019A,S72019A,"Unspecified intracapsular fracture of unspecified femur, initial encounter for closed fracture"
icd-10-mc,S72.019B,S72019B,"Unspecified intracapsular fracture of unspecified femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.019C,S72019C,"Unspecified intracapsular fracture of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.019D,S72019D,"Unspecified intracapsular fracture of unspecified femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.019E,S72019E,"Unspecified intracapsular fracture of unspecified femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.019F,S72019F,"Unspecified intracapsular fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.019G,S72019G,"Unspecified intracapsular fracture of unspecified femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.019H,S72019H,"Unspecified intracapsular fracture of unspecified femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.019J,S72019J,"Unspecified intracapsular fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.019K,S72019K,"Unspecified intracapsular fracture of unspecified femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.019M,S72019M,"Unspecified intracapsular fracture of unspecified femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.019N,S72019N,"Unspecified intracapsular fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.019P,S72019P,"Unspecified intracapsular fracture of unspecified femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.019Q,S72019Q,"Unspecified intracapsular fracture of unspecified femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.019R,S72019R,"Unspecified intracapsular fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.019S,S72019S,"Unspecified intracapsular fracture of unspecified femur, sequela"
icd-10-mc,S72.021A,S72021A,"Displaced fracture of epiphysis (separation) (upper) of right femur, initial encounter for closed fracture"
icd-10-mc,S72.021B,S72021B,"Displaced fracture of epiphysis (separation) (upper) of right femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.021C,S72021C,"Displaced fracture of epiphysis (separation) (upper) of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.021D,S72021D,"Displaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.021E,S72021E,"Displaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.021F,S72021F,"Displaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.021G,S72021G,"Displaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.021H,S72021H,"Displaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.021J,S72021J,"Displaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.021K,S72021K,"Displaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.021M,S72021M,"Displaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.021N,S72021N,"Displaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.021P,S72021P,"Displaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.021Q,S72021Q,"Displaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.021R,S72021R,"Displaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.021S,S72021S,"Displaced fracture of epiphysis (separation) (upper) of right femur, sequela"
icd-10-mc,S72.022A,S72022A,"Displaced fracture of epiphysis (separation) (upper) of left femur, initial encounter for closed fracture"
icd-10-mc,S72.022B,S72022B,"Displaced fracture of epiphysis (separation) (upper) of left femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.022C,S72022C,"Displaced fracture of epiphysis (separation) (upper) of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.022D,S72022D,"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.022E,S72022E,"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.022F,S72022F,"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.022G,S72022G,"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.022H,S72022H,"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.022J,S72022J,"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.022K,S72022K,"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.022M,S72022M,"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.022N,S72022N,"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.022P,S72022P,"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.022Q,S72022Q,"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.022R,S72022R,"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.022S,S72022S,"Displaced fracture of epiphysis (separation) (upper) of left femur, sequela"
icd-10-mc,S72.023A,S72023A,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, initial encounter for closed fracture"
icd-10-mc,S72.023B,S72023B,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.023C,S72023C,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.023D,S72023D,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.023E,S72023E,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.023F,S72023F,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.023G,S72023G,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.023H,S72023H,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.023J,S72023J,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.023K,S72023K,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.023M,S72023M,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.023N,S72023N,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.023P,S72023P,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.023Q,S72023Q,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.023R,S72023R,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.023S,S72023S,"Displaced fracture of epiphysis (separation) (upper) of unspecified femur, sequela"
icd-10-mc,S72.024A,S72024A,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, initial encounter for closed fracture"
icd-10-mc,S72.024B,S72024B,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.024C,S72024C,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.024D,S72024D,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.024E,S72024E,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.024F,S72024F,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.024G,S72024G,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.024H,S72024H,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.024J,S72024J,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.024K,S72024K,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.024M,S72024M,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.024N,S72024N,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.024P,S72024P,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.024Q,S72024Q,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.024R,S72024R,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.024S,S72024S,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, sequela"
icd-10-mc,S72.025A,S72025A,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, initial encounter for closed fracture"
icd-10-mc,S72.025B,S72025B,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.025C,S72025C,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.025D,S72025D,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.025E,S72025E,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.025F,S72025F,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.025G,S72025G,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.025H,S72025H,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.025J,S72025J,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.025K,S72025K,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.025M,S72025M,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.025N,S72025N,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.025P,S72025P,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.025Q,S72025Q,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.025R,S72025R,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.025S,S72025S,"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, sequela"
icd-10-mc,S72.026A,S72026A,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, initial encounter for closed fracture"
icd-10-mc,S72.026B,S72026B,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.026C,S72026C,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.026D,S72026D,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.026E,S72026E,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.026F,S72026F,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.026G,S72026G,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.026H,S72026H,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.026J,S72026J,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.026K,S72026K,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.026M,S72026M,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.026N,S72026N,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.026P,S72026P,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.026Q,S72026Q,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.026R,S72026R,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.026S,S72026S,"Nondisplaced fracture of epiphysis (separation) (upper) of unspecified femur, sequela"
icd-10-mc,S72.031A,S72031A,"Displaced midcervical fracture of right femur, initial encounter for closed fracture"
icd-10-mc,S72.031B,S72031B,"Displaced midcervical fracture of right femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.031C,S72031C,"Displaced midcervical fracture of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.031D,S72031D,"Displaced midcervical fracture of right femur, subsequent encounter for closed fracture with routine healing"
